Treatment,Dose and Duration
**Glucocorticoids**,"**Starting Dose**;• High-dose glucocorticoid therapy with prednisone at daily single dose of 1 mg/kg (maximum 80 mg) or alternate-day dose of 2 mg/kg (maximum 120 mg);**High-Dose Glucocorticoid Treatment Duration**;• Continue high-dose glucocorticoid therapy for at least 4 weeks and until complete remission is achieved, or a maximum of 16 weeks, whichever is earlier;• Patients who are likely to remit will show some degree of proteinuria reduction before 16 weeks of high-dose treatment;• It may not be necessary to persist with high-dose glucocorticoid therapy until 16 weeks if the proteinuria is persistent and unremitting, especially in patients who are experiencing side effects;**Glucocorticoid Tapering**;• If complete remission is achieved rapidly, continue high-dose glucocorticoid treatment for 2 weeks after the disappearance of proteinuria, whichever is longer. Reduce prednisone by 5 mg every 1-2 weeks to complete a total duration of 6 months.;• If partial remission is achieved within 8-12 weeks of high dose glucocorticoid treatment, continue until 16 weeks to ascertain whether further reduction of proteinuria and complete remission may occur. Thereafter, reduce the dose of prednisone by 5 mg every 1-2 weeks to complete a total duration of 6 months.;• If the patient proves to be steroid resistant or develops significant toxicities, glucocorticoids should be rapidly tapered as tolerated and treatment with alternative immunosuppression like a CNI inhibitor should be considered"
**CNIs**,"**Starting Dose**;• Cyclosporine 3-5 mg/kg/day in two divided doses or tacrolimus 0.05-0.1 mg/kg/day in two divided doses;• Target trough levels could be measured to minimize nephrotoxicity;• Cyclosporine target trough level: 100-175 ng/mL;• Tacrolimus target trough level: 5-10 ng/mL;**Treatment Duration for Determining CNI Efficacy**;• Cyclosporine or tacrolimus should be continued at doses achieving target trough level for at least 6 months, before considering the patient to be resistant to CNI treatment;**Total CNI Treatment Duration**;• In patients with partial or complete remissions, cyclosporine or tacrolimus should be continued at doses achieving target trough level for at least 12 months to minimize relapses;• The dose of cyclosporine or tacrolimus can be slowly tapered over a course of 6-12 months as tolerated;• Consider discontinuing CNI if the eGFR continues to decline to <30 mL/min/1.73 m²"
