Treatment,Dose and Duration
**CNIs**,"**Starting Dose**;• Cyclosporine 3-5 mg/kg/day in two divided doses or tacrolimus 0.05-0.1 mg/kg/day in two divided doses;• Target trough levels could be measured to minimize nephrotoxicity;• Cyclosporine target trough level: 100–175 ng/mL;• Tacrolimus target trough level: 5-10 ng/mL;**Treatment Duration for Determining CNI Efficacy**;• Cyclosporine or tacrolimus should be continued at doses achieving target trough level for at least 6 months before considering the patient to be resistant to CNI treatment;**Total CNI Treatment Duration**;• In patients with partial or complete remissions, cyclosporine or tacrolimus should be continued at doses achieving target trough level for at least 12 months to minimize relapses;• The dose of cyclosporine or tacrolimus can be slowly tapered over a course of 6-12 months as tolerated;• Consider discontinuing CNI if the eGFR continues to decline to <30 mL/min/1.73 m²"
**Inability to tolerate or contraindications to CNIs**,"• Lack of quality evidence for any specific alternative agents;• MMF and high-dose dexamethasone, rituximab, and ACTH have been considered;• Treatment will need to be personalized and is dependent on availability of drugs and resources, as well as the benefits of further treatment and risks of adverse effects of immunosuppression;• Patients should be referred to specialized centers with the appropriate expertise and should be evaluated on the appropriate use of alternative treatment agents or to discontinue further immunosuppression"
