Assessment,Indices
Biochemical parameters,"Serum albumin below the normal range;Serum prealbumin < 300 mg/L (30 mg/dL) (for maintenance dialysis patients only because levels may vary according to GFR level for CKD stages 2-5);Low predialysis serum creatinine, phosphate, potassium, urea levels;Serum total cholesterol < 150 mg/dL (3.8 mmol/L);Low creatinine index;Low PNA, PCR"
Anthropometric parameters,"Continuous decline in weight, skinfold thickness, mid-arm muscle circumference;WHO classification for BMI:;<18.5 kg/m² underweight (<20 kg/m² for some classification systems; note that ISRNM suggests a lower threshold of 23 kg/m²);<18.5-24.9 kg/m² normal weight;<25-29.9 kg/m² overweight;>25 kg/m² obese;Body weight < 90% of ideal;Abnormal muscle strength"
