Category,Systolic,,Diastolic
Normal,<120 mm Hg,and,<80 mm Hg
Elevated,120-129 mm Hg,and,<80 mm Hg
**Hypertension**,,,
Stage 1,130-139 mm Hg,or,80-89 mm Hg
Stage 2,≥140 mm Hg,or,≥90 mm Hg
