Prognosis Risk Group,Standard of Care,Alternative if Unable to Receive/Tolerate Standard of Care
Favorable,Pembrolizumab + axitinib,Sunitinib;Pazopanib
Intermediate/ poor,Pembrolizumab + axitinib or Ipilimumab + nivolumab,Cabozantinib;Sunitinib;Pazopanib
