,
**Anti-GBM Disease (Goodpasture)**,
**Systemic vasculitis**,"**ANCA associated:**;• Granulomatosis with polyangiitis;• Microscopic polyangiitis;• Eosinophilic granulomatosis with polyangiitis;• Drugs (penicillamine, hydralazine, propylthiouracil);**Immune complex disease:**;• Lupus;• IgA vasculitis;• Mixed cryoglobulinemia;• Rheumatoid vasculitis"
**Infection**,"Severe bacterial pneumonia, postinfectious glomerulonephritis, legionella, leptospirosis, hantavirus, infective endocarditis"
**Pulmonary edema and AKI**,Volume overload in severe left ventricular failure
**Multiorgan failure**,Acute respiratory distress syndrome and AKI
**Other**,"Paraquat poisoning, renal vein or inferior vena cava thrombosis with pulmonary emboli"
